"","location_id","sensor_id","lat","lon"
"1",0,10431,46.1678524406651,9.8792099244699
"2",1,9968,45.8422072610225,9.35165816612796
"3",2,6398,45.6273570527389,9.02640137977097
"4",3,6274,45.0819866969786,9.70078817718398
"5",4,6356,45.5347657650922,9.23610792341164
"6",5,10001,45.526472545851,9.5159804836271
"7",6,6270,45.35428575071,9.32924342411371
"8",7,10078,45.4127716916863,10.6833573437868
"9",8,6264,45.1593728023411,9.69814824935254
"10",9,9896,45.4982271339449,9.55623226235176
"11",10,9918,45.1517433795766,10.7814077000957
"12",11,6208,45.6338645090807,9.55608425579086
"13",12,6252,45.6979519897024,9.4061909386866
"14",13,6412,45.1319469128517,10.015741513336
"15",14,6330,45.6617621918917,9.1566439845516
"16",15,20489,45.5086667998462,10.2563702474338
"17",16,30162,45.5130388186538,10.1919418887793
"18",17,10017,45.6904290785451,9.48426092764779
"19",18,10451,45.3027835030958,9.49527369692632
"20",19,6817,45.2495436247462,10.2991194960641
"21",20,20032,45.1027662768414,8.90417452771467
"22",21,6428,45.2839771544676,9.86339841999363
"23",22,6280,45.3303610018123,9.41464472662726
"24",23,10285,45.8637488412797,9.39995034468185
"25",24,6400,45.8169732332637,8.82024070715821
"26",25,6831,45.4637531362103,10.4807720435713
"27",26,6326,45.4624157911066,8.88021043312557
"28",27,6346,45.5234256620035,9.04459987111101
"29",28,9855,45.0400765720296,8.91414459900241
"30",29,6690,45.1946760990779,9.16463830063009
"31",30,10278,45.4789960616874,9.2354910384975
"32",31,6366,45.4633467406665,9.19532480766886
"33",32,6248,45.8501911945785,9.39557706689322
"34",33,10129,45.0632143616133,11.2092107496994
"35",34,6320,45.4438576535649,9.16794450174268
"36",35,12016,45.1504688698568,9.93059647227233
"37",36,10165,45.0168778207554,11.0760946326405
"38",37,6276,45.3961946255272,9.28270007555784
"39",38,6300,45.5510419443724,9.16261365315132
"40",39,10329,45.2819356103579,8.75433459453983
"41",40,9996,45.1135031448296,8.87406484888261
"42",41,10505,45.6497025123625,9.60122333878526
"43",42,6262,45.2623251999215,9.40028132306792
"44",43,6212,45.6205556793956,9.61173782181237
"45",44,6232,45.8150428601129,9.06697137484454
"46",45,6268,45.3060129875238,9.48526286320174
"47",46,10333,45.3036078696557,8.84480460996544
"48",47,6766,45.5400578469714,10.2228184492742
"49",48,6380,46.1322829600037,9.56617989398447
"50",49,6228,45.7162999241173,10.0447659993684
"51",50,6864,45.5157082948446,10.3362404229965
"52",51,6803,45.6496267122407,10.205090218837
"53",52,10583,46.0158283043838,9.28640920868081
"54",53,6324,45.4836303532325,9.32736003321514
"55",54,6706,45.1863290804948,9.14666604128678
"56",55,9860,44.9995459891403,9.00843738181569
"57",56,20493,45.5426478918228,10.2112052151183
"58",57,6218,45.6910374054721,9.64365057946138
"59",58,9930,45.1425406322169,10.0438361583694
"60",59,20441,45.9127875203029,9.49753816765342
"61",60,6246,46.1381409051264,9.38468724765179
"62",61,6386,45.5828942927177,8.84216545670608
"63",62,6402,45.8369007765555,8.80392612667495
"64",63,9917,45.145260125789,10.8033259500793
"65",64,9875,45.5802634844224,9.27357309271327
"66",65,6328,45.496316443651,9.19093355531362
"67",66,6220,45.6956803443269,9.66124914606551
"68",67,6784,45.539529434956,10.2317859074772
"69",68,10037,45.6192437799476,8.75697044545343
"70",69,30159,45.8746021098904,10.1773568089814
"71",70,6260,45.3095022692823,9.58579041612041
"72",71,9920,44.9246940495507,10.5175020671178
"73",72,6845,45.6460496337252,10.389295302792
"74",73,6234,45.808573806923,9.22177920448843
"75",74,10095,45.0465015381673,11.1809358191275
"76",75,6419,45.3663090781943,9.70394551361317
"77",76,6204,45.5193349813872,9.59200999488842
"78",77,6230,45.7308367226743,9.12573432702293
"79",78,6364,45.5265508699425,8.73649657837922
"80",79,6338,45.2819561974278,8.98856272679325
"81",80,6374,46.4695239713258,10.375432759159
"82",81,6354,45.470499014097,9.19746036011253
"83",82,17285,45.6012321995514,9.27507265782848
"84",83,6408,45.2784875547884,10.0062023912043
"85",84,10457,45.2334936413037,9.66625037529603
"86",85,9804,45.1605683301058,10.7955641137079
"87",86,6288,45.5485173574195,8.84732192921626
"88",87,6382,46.1679668122783,9.87014407497457
